,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-05-03,МосБиржа,MOEX,17046,671068978.5,235.02,233.65,236.13,235.06,234.75,235.21,2858680,234.68,234.68,,601280159.0,601280159.0,,0,3,SUR,0.06
1,TQBR,2024-05-02,МосБиржа,MOEX,23377,1002799204.6,236.9,234.12,237.66,234.94,235.87,235.07,4251200,235.9,235.9,,645366731.8,645366731.8,,0,3,SUR,-0.48
2,TQBR,2024-04-30,МосБиржа,MOEX,15313,632439764.6,235.07,232.18,236.4,235.61,234.72,236.2,2694440,234.5,234.5,,538029859.5,538029859.5,,0,3,SUR,0.51
3,TQBR,2024-04-29,МосБиржа,MOEX,24519,1256621448.5,232.2,232.2,236.52,235.08,234.92,234.99,5349080,234.98,234.98,,1079566868.9,1079566868.9,,0,3,SUR,1.25
4,TQBR,2024-04-27,МосБиржа,MOEX,24693,1326639545.0,230.0,229.76,233.73,232.6,232.39,232.09,5708630,232.41,232.41,,1167930428.7,1167930428.7,,0,3,SUR,0.91
5,TQBR,2024-04-26,МосБиржа,MOEX,37054,1676555239.4,227.79,227.43,233.89,229.9,229.44,230.0,7306710,228.73,228.73,,1101354694.5,1101354694.5,,0,3,SUR,1.18
6,TQBR,2024-04-25,МосБиржа,MOEX,27997,1178123165.4,225.18,224.39,227.89,227.58,226.16,227.31,5208380,226.06,226.06,,1048407872.6,1048407872.6,,0,3,SUR,1.1
7,TQBR,2024-04-24,МосБиржа,MOEX,21402,819996660.3,225.2,224.1,225.5,225.15,224.99,224.83,3644910,224.97,224.97,,783833099.2,783833099.2,,0,3,SUR,-0.16
8,TQBR,2024-04-23,МосБиржа,MOEX,23122,1081036390.7,227.93,224.0,228.25,226.05,226.3,225.18,4777240,226.9,226.9,,734180470.2,734180470.2,,0,3,SUR,-1.01
9,TQBR,2024-04-22,МосБиржа,MOEX,19208,695142230.8,228.46,226.51,229.0,227.75,227.44,227.47,3056350,227.4,227.4,,613093908.6,613093908.6,,0,3,SUR,-0.21
10,TQBR,2024-04-19,МосБиржа,MOEX,27031,621674645.4,228.27,227.25,228.81,227.9,227.81,227.94,2728920,227.79,227.79,,513738575.0,513738575.0,,0,3,SUR,-0.23
