,TRADEDATE,BOARDID,SECID,TRADETIME,CURPRICE,LASTPRICE,LEGALCLOSE,TRADINGSESSION
0,2024-05-03,TQBR,ABIO,10:00:00,113.48,113.48,111.46,1
1,2024-05-03,TQBR,ABIO,10:01:00,113.74,113.86,111.46,1
2,2024-05-03,TQBR,ABIO,10:02:00,114.92,116.12,111.46,1
3,2024-05-03,TQBR,ABIO,10:03:00,115.58,117.26,111.46,1
4,2024-05-03,TQBR,ABIO,10:04:00,115.7,116.48,111.46,1
5,2024-05-03,TQBR,ABIO,10:05:00,115.82,116.88,111.46,1
6,2024-05-03,TQBR,ABIO,10:06:00,115.86,116.02,111.46,1
7,2024-05-03,TQBR,ABIO,10:07:00,115.78,115.08,111.46,1
8,2024-05-03,TQBR,ABIO,10:08:00,115.76,115.68,111.46,1
9,2024-05-03,TQBR,ABIO,10:09:00,115.7,115.08,111.46,1
10,2024-05-03,TQBR,ABIO,10:10:00,115.76,114.86,111.46,1
11,2024-05-03,TQBR,ABIO,10:11:00,115.92,114.5,111.46,1
12,2024-05-03,TQBR,ABIO,10:12:00,115.94,114.5,111.46,1
13,2024-05-03,TQBR,ABIO,10:13:00,115.64,114.88,111.46,1
14,2024-05-03,TQBR,ABIO,10:14:00,115.5,115.46,111.46,1
15,2024-05-03,TQBR,ABIO,10:15:00,115.26,115.3,111.46,1
16,2024-05-03,TQBR,ABIO,10:16:00,115.12,114.82,111.46,1
17,2024-05-03,TQBR,ABIO,10:17:00,115.1,114.5,111.46,1
18,2024-05-03,TQBR,ABIO,10:18:00,115.0,114.54,111.46,1
19,2024-05-03,TQBR,ABIO,10:19:00,114.86,114.4,111.46,1
20,2024-05-03,TQBR,ABIO,10:20:00,114.64,113.86,111.46,1
21,2024-05-03,TQBR,ABIO,10:21:00,114.64,113.86,111.46,1
22,2024-05-03,TQBR,ABIO,10:22:00,114.62,113.86,111.46,1
23,2024-05-03,TQBR,ABIO,10:23:00,114.56,113.7,111.46,1
24,2024-05-03,TQBR,ABIO,10:24:00,114.48,113.68,111.46,1
25,2024-05-03,TQBR,ABIO,10:25:00,114.22,113.94,111.46,1
26,2024-05-03,TQBR,ABIO,10:26:00,114.1,114.44,111.46,1
27,2024-05-03,TQBR,ABIO,10:27:00,114.08,114.36,111.46,1
28,2024-05-03,TQBR,ABIO,10:28:00,114.06,114.06,111.46,1
29,2024-05-03,TQBR,ABIO,10:29:00,114.0,114.18,111.46,1
30,2024-05-03,TQBR,ABIO,10:30:00,114.12,114.88,111.46,1
31,2024-05-03,TQBR,ABIO,10:31:00,114.22,114.98,111.46,1
32,2024-05-03,TQBR,ABIO,10:32:00,114.6,115.18,111.46,1
33,2024-05-03,TQBR,ABIO,10:33:00,114.86,115.74,111.46,1
34,2024-05-03,TQBR,ABIO,10:34:00,115.22,115.58,111.46,1
35,2024-05-03,TQBR,ABIO,10:35:00,115.28,115.52,111.46,1
36,2024-05-03,TQBR,ABIO,10:36:00,115.46,115.22,111.46,1
37,2024-05-03,TQBR,ABIO,10:37:00,115.46,115.38,111.46,1
38,2024-05-03,TQBR,ABIO,10:38:00,115.54,115.34,111.46,1
39,2024-05-03,TQBR,ABIO,10:39:00,115.54,115.46,111.46,1
